Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src
rampa-ortopedica,Rampa Ortopédica para Perros Senior,"<p>Rampa plegable antideslizante con envío desde España.</p>",GoldenPaenior,Rampas,"bestseller,EU,120kg",TRUE,Talla,Única,RAMP-001,89,120,deny,manual,TRUE,TRUE,,
arnes-soporte,Arnés de Soporte Lumbar,"<p>Distribuye el peso y reduce dolor articular.</p>",GoldenPaenior,Arnés,"bestseller,EU",TRUE,Talla,M,ARN-002,39,80,deny,manual,TRUE,TRUE,,
suplemento-glucosamina,Suplementos Glucosamina Senior,"<p>Alivio diario para articulaciones rígidas.</p>",GoldenPaenior,Suplemento,"nuevo,EU",TRUE,Sabor,Pollo,SUP-003,29,200,deny,manual,TRUE,TRUE,,
cama-ortopedica,Cama Ortopédica Visco Senior,"<p>Espuma memory con funda lavable.</p>",GoldenPaenior,Cama,"EU,120kg",TRUE,Talla,L,CAM-004,119,45,deny,manual,TRUE,TRUE,,
barandilla-sofa,Barandilla anti-caidas sofá,"<p>Protege a perros con pérdida de visión.</p>",GoldenPaenior,Seguridad,"vision,EU",TRUE,Talla,Única,BAR-005,34,60,deny,manual,TRUE,TRUE,,
kit-higiene,Kit Higiene Incontinencia,"<p>Empapadores + spray enzimático.</p>",GoldenPaenior,Higiene,"incontinencia,EU",TRUE,Talla,Única,HIG-006,27,150,deny,manual,TRUE,TRUE,,
calmante-natural,Calmante Natural Valeriana,"<p>Reduce ansiedad sin somnolencia.</p>",GoldenPaenior,Suplemento,"ansiedad,nuevo",TRUE,Dosis,30 días,CAL-007,22,90,deny,manual,TRUE,TRUE,,
luces-guias,Luces Guía Nocturnas,"<p>Iluminación suave para hogares con mascotas senior.</p>",GoldenPaenior,Accesorios,"vision,EU",TRUE,Color,Blanco,LUC-008,18,140,deny,manual,TRUE,TRUE,,
escalones-plegables,Escalones Plegables XL,"<p>Alternativa compacta a la rampa.</p>",GoldenPaenior,Rampas,"bestseller,EU,80kg",TRUE,Talla,XL,ESC-009,76,40,deny,manual,TRUE,TRUE,,
arnes-frontal,Arnés Frontal Antitirones,"<p>Control seguro para paseos cortos.</p>",GoldenPaenior,Arnés,"USA",TRUE,Talla,L,ARN-010,33,55,deny,manual,TRUE,TRUE,,
colchon-refrigerante,Colchón Refrigerante Senior,"<p>Alivia inflamación y calor.</p>",GoldenPaenior,Cama,"verano,EU",TRUE,Talla,L,COL-011,49,70,deny,manual,TRUE,TRUE,,
seguro-antideslizante,Tapete Antideslizante para Suelos,"<p>Mejora agarre y evita resbalones.</p>",GoldenPaenior,Seguridad,"EU",TRUE,Talla,2x1m,TAP-012,25,100,deny,manual,TRUE,TRUE,,
silla-ruedas,Silla de Ruedas Ajustable,"<p>Recupera movilidad para perros sin fuerza trasera.</p>",GoldenPaenior,Movilidad,"bestseller,USA",TRUE,Talla,M,SIL-013,189,12,deny,manual,TRUE,TRUE,,
pannales-reutilizables,Pañales Reutilizables Senior,"<p>Lavables y transpirables.</p>",GoldenPaenior,Higiene,"incontinencia,EU",TRUE,Talla,L,PAN-014,28,160,deny,manual,TRUE,TRUE,,
juguete-calmante,Juguete Calmante con Lavanda,"<p>Reduce ansiedad con aroma natural.</p>",GoldenPaenior,Accesorios,"ansiedad,nuevo",TRUE,Talla,Única,JUG-015,21,110,deny,manual,TRUE,TRUE,,
